security_id,timestamp,buy_volume,sell_volume,buy_initiated,sell_initiated,tick_delta,open,high,low,close,delta,inference,open_interest,oi_change,oi_interpretation
49402,12:41,600.0,-900.0,0.0,0.0,0.0,2669.6,2669.6,2669.6,2669.6,1500.0,Neutral,0.0,0.0,Neutral
49422,12:43,0.0,-1100.0,0.0,0.0,0.0,1010.9,1010.9,1010.9,1010.9,1100.0,Neutral,0.0,0.0,Neutral
49422,12:44,11000.0,1650.0,2200.0,550.0,1650.0,1010.3,1010.6,1010.3,1010.6,9350.0,Buy Dominant,0.0,0.0,Neutral
49423,12:31,-1100.0,-1100.0,0.0,0.0,0.0,777.25,777.25,777.25,777.25,0.0,Neutral,0.0,0.0,Neutral
49425,12:42,750.0,-150.0,0.0,0.0,0.0,6042.5,6042.5,6042.5,6042.5,900.0,Neutral,0.0,0.0,Neutral
49426,12:43,-2800.0,4200.0,0.0,0.0,0.0,833.65,833.65,833.65,833.65,-7000.0,Neutral,0.0,0.0,Neutral
49427,12:36,2025.0,2025.0,0.0,0.0,0.0,452.0,452.0,452.0,452.0,0.0,Neutral,0.0,0.0,Neutral
49428,12:43,-600.0,600.0,0.0,0.0,0.0,2333.3,2333.3,2333.3,2333.3,-1200.0,Neutral,0.0,0.0,Neutral
49429,12:43,0.0,0.0,0.0,0.0,0.0,527.4,527.4,527.4,527.4,0.0,Neutral,0.0,0.0,Neutral
49429,12:44,2450.0,0.0,0.0,2450.0,-2450.0,527.05,527.05,527.05,527.05,2450.0,Sell Dominant,0.0,0.0,Neutral
49430,12:44,11100.0,-2775.0,19425.0,2775.0,16650.0,215.39,215.93,215.39,215.93,13875.0,Buy Dominant,0.0,0.0,Neutral
49430,12:45,0.0,0.0,0.0,0.0,0.0,216.08,216.08,216.08,216.08,0.0,Neutral,0.0,0.0,Neutral
49431,12:43,-700.0,-2100.0,0.0,0.0,0.0,1378.5,1378.5,1378.5,1378.5,1400.0,Neutral,0.0,0.0,Neutral
49431,12:44,3500.0,7000.0,2100.0,1400.0,700.0,1378.0,1378.8,1378.0,1378.8,-3500.0,Buy Dominant,0.0,0.0,Neutral
49432,12:15,-325.0,-1300.0,0.0,0.0,0.0,1957.2,1957.2,1957.2,1957.2,975.0,Neutral,0.0,0.0,Neutral
49435,12:23,-925.0,-925.0,0.0,0.0,0.0,643.0,643.0,643.0,643.0,0.0,Neutral,0.0,0.0,Neutral
